subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,21,12334.07042541,-2.67933947,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,22,14281.50341712,3.17218485,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,23,16519.90424416,2.77870773,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,24,19092.74669051,-2.03513287,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,25,22050.00000000,-3.67240514,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,0,0.00000000,-3.78176208,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,1,104.58767290,3.92785007,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,2,224.80189054,-0.62363979,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,3,362.97743001,-4.63440112,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,4,521.79790965,4.06499522,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,5,704.34790983,-3.13470321,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,6,914.17288101,-0.86026874,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,7,1155.34800284,1.19213505,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,8,1432.55733147,-3.17744147,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,9,1751.18477235,2.92190717,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,10,2117.41864548,-1.40921547,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,11,2538.37187364,-0.82652483,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,12,3022.22012828,3.93422103,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,13,3578.36061576,1.55474222,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,14,4217.59458808,0.60457323,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,15,4952.33712269,2.61842773,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,16,5796.85824570,-1.49808244,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,17,6767.56008152,1.95442908,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,18,7883.29541175,1.15803276,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,19,9165.73383021,0.11604192,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,20,10639.78260555,-4.83910012,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,21,12334.07042541,-2.88771647,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,22,14281.50341712,4.89876116,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,23,16519.90424416,-3.06579555,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,24,19092.74669051,-2.05368507,1,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0379.eq.wav,1,25,22050.00000000,3.21504463,1,1611
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,0,0.00000000,-3.67604774,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,1,104.58767290,-0.60513292,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,2,224.80189054,-4.54801331,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,3,362.97743001,2.28666660,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,4,521.79790965,-0.98834246,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,5,704.34790983,1.25701784,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,6,914.17288101,2.37012831,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,7,1155.34800284,2.56836667,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,8,1432.55733147,0.52279674,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,9,1751.18477235,-1.61178730,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,10,2117.41864548,-1.58702942,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,11,2538.37187364,-2.10691586,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,12,3022.22012828,-0.36306384,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,13,3578.36061576,-1.32155664,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,14,4217.59458808,4.07333146,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,15,4952.33712269,-0.26576833,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,16,5796.85824570,4.52845196,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,17,6767.56008152,2.02442966,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,18,7883.29541175,-2.83454235,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,19,9165.73383021,-3.47378879,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,20,10639.78260555,-1.26537861,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,21,12334.07042541,0.43047551,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,22,14281.50341712,0.38635870,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,23,16519.90424416,-0.53406618,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,24,19092.74669051,-4.84392149,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0353.eq.wav,0,25,22050.00000000,0.79896582,0,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,0,0.00000000,-1.82666968,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,1,104.58767290,-0.90366110,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,2,224.80189054,-0.88593858,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,3,362.97743001,-1.04883161,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,4,521.79790965,4.98141232,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,5,704.34790983,3.12577237,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,6,914.17288101,-4.51489807,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,7,1155.34800284,2.04598656,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,8,1432.55733147,1.02871947,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,9,1751.18477235,3.46484211,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,10,2117.41864548,-1.17997649,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,11,2538.37187364,3.43989057,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,12,3022.22012828,1.01326964,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,13,3578.36061576,1.92808305,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,14,4217.59458808,3.46134732,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,15,4952.33712269,0.94278370,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,16,5796.85824570,4.53688242,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,17,6767.56008152,-2.14341319,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,18,7883.29541175,0.77371071,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,19,9165.73383021,-2.81829552,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,20,10639.78260555,3.69937339,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,21,12334.07042541,1.94535706,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,22,14281.50341712,-3.14639582,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,23,16519.90424416,1.79834221,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,24,19092.74669051,3.40507217,1,595
101,2,0,x,99,2021-11-23T14:55:17.699Z,gomot_a.0242.eq.wav,1,25,22050.00000000,3.46009255,1,595
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,0,0.00000000,-0.92341081,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,1,104.58767290,-2.01778016,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,2,224.80189054,-2.55229328,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,3,362.97743001,-3.67473177,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,4,521.79790965,-4.33559145,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,5,704.34790983,3.58918759,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,6,914.17288101,-4.48633828,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,7,1155.34800284,-0.40824662,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,8,1432.55733147,1.44384613,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,9,1751.18477235,1.92613602,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,10,2117.41864548,-1.51216475,0,1503
101,3,1,x,99,2021-11-23T14:55:17.699Z,gomot_a.0286.eq.wav,0,11,2538.37187364,-1.97491522,0,1503
