subj,trial,block,sex,age,date,stim,stim_order,param_index,filter_freq,filter_gain,response,rt
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,25,22050.00000000,4.70737581,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,0,0.00000000,3.20546573,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,1,104.58767290,-1.02565774,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,2,224.80189054,-0.11075854,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,3,362.97743001,3.76114395,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,4,521.79790965,-0.43053190,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,5,704.34790983,-1.91086121,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,6,914.17288101,-2.80966703,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,7,1155.34800284,-1.85405237,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,8,1432.55733147,-2.89325857,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,9,1751.18477235,2.86084376,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,10,2117.41864548,-0.20590252,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,11,2538.37187364,-2.87611050,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,12,3022.22012828,-3.39023531,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,13,3578.36061576,1.21139741,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,14,4217.59458808,-3.17707285,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,15,4952.33712269,4.38540271,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,16,5796.85824570,-0.90053135,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,17,6767.56008152,2.17854294,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,18,7883.29541175,1.56353546,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,19,9165.73383021,0.07517963,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,20,10639.78260555,1.73708192,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,21,12334.07042541,-3.76163374,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,22,14281.50341712,-3.72887766,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,23,16519.90424416,0.84757217,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,24,19092.74669051,1.95081121,True,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0074.eq.wav,1,25,22050.00000000,4.80007404,True,242
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,0,0.00000000,1.71094624,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,1,104.58767290,-0.20220782,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,2,224.80189054,-0.84817272,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,3,362.97743001,2.51100069,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,4,521.79790965,4.21329811,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,5,704.34790983,2.95131213,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,6,914.17288101,-1.95767488,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,7,1155.34800284,2.42981099,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,8,1432.55733147,0.33978837,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,9,1751.18477235,3.59082878,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,10,2117.41864548,-0.43705357,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,11,2538.37187364,-4.43243895,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,12,3022.22012828,-0.41223053,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,13,3578.36061576,-0.37895669,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,14,4217.59458808,-4.18310750,True,262
